Country,Name,Value
Gabon,Fluorspar,0
Gabon,Gold,200
Gabon,Graphite,0
Gabon,Gypsum,0
Gabon,Iron,0
Gabon,Kaolin,0
Gabon,Lead,0
Gabon,Lithium,0
Gabon,Magnesite,0
Gabon,Manganese,4240100
Gabon,Mercury,0
Gabon,Nat. Gas,454
Gabon,Nickel,0
Gabon,Niobium,0
Gabon,Palladium,0
Gabon,Perlite,0
Gabon,Petroleum,10040000
Gabon,Phosphates,0
Gabon,Platinum,0
Gabon,Rare Earths,0
Gabon,Rhodium,0
Gabon,Salt,0
Gabon,Silver,0
Gabon,Steam Coal,0
Gabon,Sulfur,0
Gabon,Talc,0
Gabon,Tantalum,0
Gabon,Tin,0
Gabon,Titanium,0
Gabon,Tungsten,0
Gabon,Uranium,0
Gabon,Vanadium,0
Gabon,Vermiculite,0
Gabon,Zinc,0
Gabon,Zircon,0
Guinea,Aluminium,0
Guinea,Arsenic,0
Guinea,Baryte,0
Guinea,Bauxite,87438557
Guinea,Bentonite,0
Guinea,Beryllium,0
Guinea,Chromium,0
Guinea,Cobalt,0
Guinea,Coking Coal,0
Guinea,Copper,0
Guinea,Diam. (Gem),204990
Guinea,Diam. (Ind),68330
Guinea,Diatomite,0
Guinea,Feldspar,0
Guinea,Fluorspar,0
Guinea,Gold,102046
Guinea,Graphite,0
Guinea,Gypsum,0
Guinea,Iron,1139200
Guinea,Kaolin,0
Guinea,Lead,0
Guinea,Lithium,0
Guinea,Magnesite,0
Guinea,Manganese,0
Guinea,Mercury,0
Guinea,Nat. Gas,0
Guinea,Nickel,0
Guinea,Niobium,0
Guinea,Palladium,0
Guinea,Perlite,0
Guinea,Petroleum,0
Guinea,Phosphates,0
Guinea,Platinum,0
Guinea,Rare Earths,0
Guinea,Rhodium,0
Guinea,Salt,0
Guinea,Silver,0
Guinea,Steam Coal,0
Guinea,Sulfur,0
Guinea,Talc,0
Guinea,Tantalum,0
Guinea,Tin,0
Guinea,Titanium,0
Guinea,Tungsten,0
Guinea,Uranium,0
Guinea,Vanadium,0
Guinea,Vermiculite,0
Guinea,Zinc,0
Guinea,Zircon,0
