Country,Name,Value
Lesotho,Bentonite,0
Lesotho,Beryllium,0
Lesotho,Chromium,0
Lesotho,Cobalt,0
Lesotho,Coking Coal,0
Lesotho,Copper,0
Lesotho,Diam. (Gem),339452
Lesotho,Diam. (Ind),0
Lesotho,Diatomite,0
Lesotho,Feldspar,0
Lesotho,Fluorspar,0
Lesotho,Gold,0
Lesotho,Graphite,0
Lesotho,Gypsum,0
Lesotho,Iron,0
Lesotho,Kaolin,0
Lesotho,Lead,0
Lesotho,Lithium,0
Lesotho,Magnesite,0
Lesotho,Manganese,0
Lesotho,Mercury,0
Lesotho,Nat. Gas,0
Lesotho,Nickel,0
Lesotho,Niobium,0
Lesotho,Palladium,0
Lesotho,Perlite,0
Lesotho,Petroleum,0
Lesotho,Phosphates,0
Lesotho,Platinum,0
Lesotho,Rare Earths,0
Lesotho,Rhodium,0
Lesotho,Salt,0
Lesotho,Silver,0
Lesotho,Steam Coal,0
Lesotho,Sulfur,0
Lesotho,Talc,0
Lesotho,Tantalum,0
Lesotho,Tin,0
Lesotho,Titanium,0
Lesotho,Tungsten,0
Lesotho,Uranium,0
Lesotho,Vanadium,0
Lesotho,Vermiculite,0
Lesotho,Zinc,0
Lesotho,Zircon,0
Namibia,Aluminium,0
Namibia,Arsenic,0
Namibia,Baryte,0
Namibia,Bauxite,0
Namibia,Bentonite,0
Namibia,Beryllium,0
Namibia,Chromium,0
Namibia,Cobalt,0
Namibia,Coking Coal,0
Namibia,Copper,950
Namibia,Diam. (Gem),1446964
Namibia,Diam. (Ind),76156
Namibia,Diatomite,0
Namibia,Feldspar,0
Namibia,Fluorspar,0
Namibia,Gold,7648
Namibia,Graphite,0
Namibia,Gypsum,0
Namibia,Iron,51490
Namibia,Kaolin,0
Namibia,Lead,10130
Namibia,Lithium,0
Namibia,Magnesite,0
Namibia,Manganese,10250
Namibia,Mercury,0
Namibia,Nat. Gas,0
Namibia,Nickel,0
Namibia,Niobium,0
Namibia,Palladium,0
Namibia,Perlite,0
Namibia,Petroleum,0
Namibia,Phosphates,0
Namibia,Platinum,0
Namibia,Rare Earths,0
Namibia,Rhodium,0
Namibia,Salt,1014873
Namibia,Silver,5847
Namibia,Steam Coal,0
Namibia,Sulfur,65500
Namibia,Talc,0
Namibia,Tantalum,0
Namibia,Tin,492
Namibia,Titanium,0
Namibia,Tungsten,0
Namibia,Uranium,6784
Namibia,Vanadium,0
Namibia,Vermiculite,0
Namibia,Zinc,41180
Namibia,Zircon,0
South Africa,Aluminium,714000
South Africa,Arsenic,0
South Africa,Baryte,0
South Africa,Bauxite,0
South Africa,Bentonite,98606
South Africa,Beryllium,0
South Africa,Chromium,7605500
South Africa,Cobalt,355
South Africa,Coking Coal,2730418
South Africa,Copper,28307
South Africa,Diam. (Gem),4506940
South Africa,Diam. (Ind),5216870
South Africa,Diatomite,0
South Africa,Feldspar,67113
South Africa,Fluorspar,400000
South Africa,Gold,105036
South Africa,Graphite,0
South Africa,Gypsum,277376
South Africa,Iron,47509000
South Africa,Kaolin,29168
South Africa,Lead,31224
South Africa,Lithium,0
South Africa,Magnesite,5000
South Africa,Manganese,7098396
South Africa,Mercury,0
South Africa,Nat. Gas,44
South Africa,Nickel,31846
South Africa,Niobium,0
South Africa,Palladium,84336
South Africa,Perlite,1000
South Africa,Petroleum,15633
South Africa,Phosphates,767600
South Africa,Platinum,141626
South Africa,Rare Earths,0
South Africa,Rhodium,20875
South Africa,Salt,545942
South Africa,Silver,37146
South Africa,Steam Coal,225804400
South Africa,Sulfur,61929
South Africa,Talc,270944
South Africa,Tantalum,0
South Africa,Tin,0
South Africa,Titanium,900000
South Africa,Tungsten,0
South Africa,Uranium,153
South Africa,Vanadium,8799
South Africa,Vermiculite,217109
South Africa,Zinc,193785
South Africa,Zircon,301000
Zambia,Aluminium,0
Zambia,Arsenic,0
Zambia,Baryte,0
Zambia,Bauxite,0
Zambia,Bentonite,0
Zambia,Beryllium,6
Zambia,Chromium,0
Zambia,Cobalt,247
Zambia,Coking Coal,0
Zambia,Copper,827107
Zambia,Diam. (Gem),0
Zambia,Diam. (Ind),0
Zambia,Diatomite,0
Zambia,Feldspar,0
Zambia,Fluorspar,0
Zambia,Gold,3987
Zambia,Graphite,0
Zambia,Gypsum,0
Zambia,Iron,0
Zambia,Kaolin,0
Zambia,Lead,0
Zambia,Lithium,0
Zambia,Magnesite,0
Zambia,Manganese,56860
Zambia,Mercury,0
Zambia,Nat. Gas,0
Zambia,Nickel,3680
Zambia,Niobium,0
Zambia,Palladium,0
Zambia,Perlite,0
Zambia,Petroleum,0
Zambia,Phosphates,0
Zambia,Platinum,0
Zambia,Rare Earths,0
Zambia,Rhodium,0
Zambia,Salt,0
Zambia,Silver,0
Zambia,Steam Coal,663345
Zambia,Sulfur,691900
Zambia,Talc,0
Zambia,Tantalum,0
Zambia,Tin,0
Zambia,Titanium,0
Zambia,Tungsten,0
Zambia,Uranium,0
Zambia,Vanadium,0
Zambia,Vermiculite,0
Zambia,Zinc,0
Zambia,Zircon,0
Zimbabwe,Aluminium,0
Zimbabwe,Arsenic,0
Zimbabwe,Baryte,0
Zimbabwe,Bauxite,0
Zimbabwe,Bentonite,0
Zimbabwe,Beryllium,0
Zimbabwe,Chromium,644400
Zimbabwe,Cobalt,230
Zimbabwe,Coking Coal,486900
Zimbabwe,Copper,8650
Zimbabwe,Diam. (Gem),845040
Zimbabwe,Diam. (Ind),3380140
Zimbabwe,Diatomite,0
Zimbabwe,Feldspar,0
Zimbabwe,Fluorspar,0
Zimbabwe,Gold,31477
Zimbabwe,Graphite,0
Zimbabwe,Gypsum,0
Zimbabwe,Iron,0
Zimbabwe,Kaolin,0
Zimbabwe,Lead,0
Zimbabwe,Lithium,1670
Zimbabwe,Magnesite,0
Zimbabwe,Manganese,0
Zimbabwe,Mercury,0
Zimbabwe,Nat. Gas,0
Zimbabwe,Nickel,16213
Zimbabwe,Niobium,0
Zimbabwe,Palladium,12619
